"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Eduardo Rodriguez","DET","29","29","169.0","10","11","15","0","0","165","74","20","152","55","1.30","8.07","2.93","3.94","3.92","","2.2","2.1","","327.6","13164"
"Logan Gilbert","SEA","31","31","176.0","11","11","16","0","0","163","75","24","173","47","1.19","8.84","2.41","3.84","3.86","","2.2","2.0","","113.8","22250"
"Aaron Ashby","MIL","21","37","127.0","8","7","10","0","1","110","48","12","138","53","1.28","9.78","3.76","3.43","3.51","","2.1","2.5","","226.5","23550"
"Merrill Kelly","ARI","32","32","197.0","11","12","17","0","0","201","94","26","169","59","1.33","7.74","2.72","4.30","4.11","","2.1","2.2","","236.0","11156"
"Joe Ryan","MIN","29","29","170.0","10","11","14","0","0","156","79","26","175","51","1.22","9.31","2.72","4.18","4.10","","2.1","1.6","","146.7","21390"
"Miles Mikolas","STL","31","31","191.0","11","11","17","0","0","197","87","25","144","44","1.27","6.79","2.07","4.10","4.11","","2.1","2.1","","245.4","9803"
"José Quintana","NYM","31","31","167.0","11","10","14","0","0","161","70","20","154","54","1.28","8.29","2.89","3.78","3.85","","2.0","2.1","","323.6","11423"
"Freddy Peralta","MIL","26","26","138.0","9","9","11","0","0","119","61","19","150","52","1.24","9.80","3.41","3.99","4.04","","2.0","2.1","","140.8","18679"
"Lucas Giolito","CHW","31","31","176.0","10","11","15","0","0","164","80","26","180","58","1.26","9.22","2.96","4.11","4.09","","2.0","1.9","","149.9","15474"
"José Berríos","TOR","31","31","176.0","11","10","15","0","0","173","81","26","159","47","1.25","8.14","2.39","4.14","4.15","","2.0","1.7","","249.5","14168"
"Jameson Taillon","CHC","31","31","178.0","10","12","14","0","0","182","86","27","152","44","1.27","7.66","2.24","4.35","4.21","","2.0","1.6","","258.6","11674"
"Garrett Whitlock","BOS","21","41","135.0","8","8","9","0","1","131","60","17","131","38","1.26","8.72","2.56","4.01","3.78","","1.9","1.7","","279.9","20191"
"Sean Manaea","SFG","28","28","156.0","9","10","13","0","0","154","71","20","146","44","1.27","8.41","2.55","4.06","3.90","","1.9","1.9","","325.1","15873"
"Roansy Contreras","PIT","28","28","153.0","9","10","12","0","0","147","73","21","144","57","1.33","8.49","3.34","4.31","4.24","","1.9","1.5","","287.4","22810"
"Reid Detmers","LAA","28","28","150.0","9","9","12","0","0","138","69","22","154","54","1.28","9.23","3.22","4.17","4.17","","1.9","1.7","","209.8","27468"
"Luis Garcia","HOU","28","28","157.0","10","9","13","0","0","147","72","23","157","50","1.26","9.02","2.87","4.13","4.05","","1.9","1.7","","155.0","23735"
"Jesús Luzardo","MIA","26","26","146.0","9","9","13","0","0","132","63","18","155","55","1.28","9.55","3.39","3.85","3.85","","1.9","2.0","","147.2","19959"
"Justin Steele","CHC","26","26","143.0","9","9","12","0","0","132","61","15","138","57","1.33","8.71","3.61","3.83","3.90","","1.9","2.2","","279.4","17312"
"Lance McCullers Jr.","HOU","26","26","148.0","10","8","13","0","0","138","64","16","146","59","1.33","8.84","3.55","3.88","3.89","","1.8","1.9","","193.8","14120"
"Tyler Mahle","MIN","29","29","169.0","10","11","14","0","0","162","79","24","165","56","1.29","8.77","2.99","4.20","4.11","","1.8","1.4","","286.8","16358"
"Alex Wood","SFG","19","41","127.0","8","7","9","0","1","121","51","14","125","33","1.22","8.88","2.33","3.64","3.50","","1.8","1.9","","350.8","13781"
"Jeffrey Springs","TBR","26","26","141.0","9","8","12","0","0","128","58","19","140","43","1.22","8.96","2.75","3.74","3.83","","1.8","1.8","","173.0","17677"
"Martín Pérez","TEX","31","31","184.0","10","12","16","0","0","188","85","22","154","64","1.37","7.52","3.14","4.14","4.14","","1.8","1.7","","310.4","6902"
"JT Brubaker","PIT","29","29","163.0","9","11","13","0","0","163","78","22","151","55","1.33","8.31","3.00","4.29","4.16","","1.8","1.6","","515.0","17578"
"Carlos Carrasco","NYM","29","29","158.0","10","9","13","0","0","153","69","21","149","45","1.25","8.47","2.56","3.92","3.90","","1.8","1.6","","297.2","6632"
"Tyler Anderson","LAA","31","31","185.0","11","11","15","0","0","192","91","30","147","47","1.29","7.12","2.29","4.40","4.48","","1.7","1.5","","269.1","12880"
"Trevor Rogers","MIA","23","35","132.0","8","8","10","0","1","119","55","15","136","46","1.25","9.30","3.12","3.76","3.73","","1.7","1.9","","222.1","22286"
"Graham Ashcraft","CIN","26","26","150.0","8","10","12","0","0","162","75","18","117","51","1.42","7.05","3.07","4.49","4.31","","1.7","1.7","","999.0","27552"
"Spencer Turnbull","DET","19","41","132.0","7","8","9","0","1","127","57","13","117","43","1.29","8.01","2.92","3.91","3.78","","1.7","1.5","","436.8","16207"
"Grayson Rodriguez","BAL","23","23","129.0","8","8","11","0","0","117","55","17","134","43","1.24","9.35","2.99","3.83","3.83","","1.7","1.7","","198.6","sa3008130"
"Mitch Keller","PIT","29","29","164.0","9","11","13","0","0","165","80","19","142","63","1.39","7.77","3.46","4.37","4.21","","1.7","1.4","","386.2","17594"
"Corey Kluber","","29","29","165.0","9","11","12","0","0","178","86","25","132","38","1.31","7.23","2.08","4.67","4.36","","1.6","1.2","","453.1","2429"
"Patrick Corbin","WSN","29","29","163.0","9","11","12","0","0","168","79","23","133","51","1.35","7.32","2.81","4.38","4.38","","1.6","1.6","","715.9","9323"
"Michael Wacha","","28","28","159.0","9","10","12","0","0","164","78","24","133","44","1.31","7.53","2.50","4.43","4.37","","1.6","1.3","","413.1","14078"
"Steven Matz","STL","19","39","124.0","8","7","9","0","1","115","51","16","118","34","1.20","8.60","2.45","3.74","3.77","","1.5","1.7","","331.7","13361"
"Brayan Bello","BOS","18","18","98.0","6","6","8","0","0","95","42","9","95","37","1.34","8.72","3.39","3.89","3.62","","1.5","1.5","","999.0","23920"
"Kenta Maeda","MIN","24","34","146.0","8","9","11","0","1","142","67","20","136","42","1.27","8.38","2.62","4.13","4.01","","1.5","1.3","","347.6","18498"
"Taijuan Walker","PHI","29","29","161.0","9","11","12","0","0","165","80","24","132","51","1.34","7.37","2.86","4.47","4.50","","1.5","1.4","","297.7","11836"
"Aaron Civale","CLE","24","24","134.0","8","8","11","0","0","135","62","19","120","35","1.26","8.03","2.32","4.18","4.11","","1.5","1.3","","323.9","19479"
"Nick Pivetta","BOS","31","31","178.0","10","12","13","0","0","177","93","27","169","68","1.38","8.56","3.46","4.70","4.44","","1.4","1.2","","417.1","15454"
"Zach Eflin","TBR","26","26","146.0","9","9","12","0","0","146","66","20","123","35","1.24","7.62","2.17","4.05","4.01","","1.4","1.3","","316.6","13774"
"Tony Gonsolin","LAD","28","28","153.0","9","9","12","0","0","151","74","23","148","51","1.33","8.72","3.04","4.39","4.23","","1.4","1.2","","183.4","19388"
"Matthew Boyd","DET","26","26","153.0","8","10","13","0","0","148","71","22","141","46","1.27","8.26","2.71","4.19","4.19","","1.4","1.5","","442.9","15440"
"Kyle Bradish","BAL","28","28","155.0","9","10","13","0","0","149","71","20","144","55","1.32","8.39","3.19","4.13","4.12","","1.4","1.4","","999.0","24586"
"Ross Stripling","SFG","24","38","144.0","8","9","10","0","1","149","68","20","119","35","1.28","7.44","2.21","4.26","4.06","","1.4","1.3","","311.5","13273"
"Edward Cabrera","MIA","24","24","132.0","8","9","11","0","0","120","60","16","138","57","1.34","9.42","3.88","4.08","4.06","","1.4","1.4","","216.7","21690"
"Edwin Díaz","NYM","0","64","64.0","4","2","0","34","1","41","17","5","100","22","0.98","13.99","3.04","2.43","2.22","","1.4","1.3","","22.4","14710"
"Kyle Gibson","BAL","29","29","172.0","10","11","14","0","0","179","81","22","142","53","1.35","7.41","2.79","4.24","4.23","","1.3","1.3","","459.1","10123"
"James Paxton","BOS","23","31","135.0","8","8","10","0","1","129","64","19","134","47","1.31","8.93","3.12","4.28","4.11","","1.3","1.4","","530.4","11828"
"Hunter Brown","HOU","10","54","100.0","6","5","5","0","1","87","38","9","109","39","1.27","9.81","3.52","3.41","3.40","","1.3","1.4","","999.0","25880"
"Eric Lauer","MIL","28","28","156.0","9","10","12","0","0","148","74","24","150","59","1.32","8.69","3.39","4.30","4.42","","1.3","1.8","","270.4","19316"
"Kyle Freeland","COL","31","31","178.0","8","13","11","0","0","214","107","29","130","55","1.51","6.58","2.78","5.42","4.83","","1.3","1.0","","635.5","16256"
"Andrés Muñoz","SEA","0","65","65.0","4","2","0","10","10","44","17","5","95","22","1.01","13.22","3.03","2.40","2.32","","1.3","1.3","","152.2","20373"
"Liam Hendriks","CHW","0","68","68.0","4","3","0","32","2","51","22","8","94","17","1.00","12.39","2.28","2.92","2.71","","1.3","1.0","","36.7","3548"
"Adam Wainwright","STL","28","28","167.0","10","10","14","0","0","177","81","22","121","49","1.36","6.53","2.64","4.36","4.37","","1.3","1.3","","354.3","2233"
"Ken Waldichuk","OAK","21","21","118.0","7","8","10","0","0","105","51","15","118","45","1.28","9.05","3.44","3.88","4.02","","1.3","1.3","","999.0","27681"
"MacKenzie Gore","WSN","23","23","129.0","7","9","10","0","0","121","61","17","124","57","1.38","8.66","4.01","4.25","4.39","","1.3","1.5","","364.3","22201"
"Mike Clevinger","CHW","28","28","151.0","9","10","11","0","0","152","76","26","132","44","1.30","7.88","2.64","4.54","4.58","","1.3","0.9","","328.8","12808"
"José Suarez","LAA","26","26","141.0","8","9","10","0","0","140","68","20","124","49","1.34","7.94","3.13","4.35","4.42","","1.2","1.2","","358.3","19911"
"Jhoan Duran","MIN","0","68","68.0","4","3","0","11","9","51","20","5","91","24","1.10","12.10","3.15","2.62","2.49","","1.2","1.2","","999.0","21029"
"Danny Duffy","","16","40","114.0","7","7","7","0","0","105","50","16","116","37","1.24","9.14","2.93","3.95","3.97","","1.2","1.3","","746.8","3542"
"Bailey Ober","MIN","23","23","123.0","7","8","9","0","0","123","59","19","113","31","1.25","8.27","2.28","4.33","4.17","","1.2","0.9","","258.3","21224"
"Paul Blackburn","OAK","26","26","148.0","8","10","12","0","0","155","70","18","109","43","1.34","6.63","2.59","4.24","4.19","","1.2","0.8","","563.5","14739"
"Jack Flaherty","STL","26","31","145.0","9","9","11","0","1","137","66","20","135","50","1.29","8.38","3.14","4.13","4.23","","1.2","1.5","","224.2","17479"
"Kyle Muller","OAK","19","31","119.0","7","8","9","0","1","109","50","13","114","45","1.29","8.61","3.40","3.82","3.92","","1.2","1.2","","430.3","20167"
"Josiah Gray","WSN","29","29","170.0","8","12","12","0","0","162","91","30","171","69","1.36","9.07","3.66","4.81","4.78","","1.2","1.1","","379.3","24580"
"Noah Syndergaard","LAD","28","28","153.0","9","10","10","0","0","169","82","24","114","39","1.35","6.68","2.28","4.84","4.55","","1.2","0.4","","355.6","11762"
"Nick Martinez","SDP","21","41","138.0","8","8","9","0","1","135","65","18","122","51","1.35","7.98","3.34","4.22","4.29","","1.2","1.0","","417.2","12730"
"Tylor Megill","NYM","11","31","81.0","5","4","5","0","1","72","33","10","89","23","1.17","9.82","2.57","3.59","3.52","","1.1","1.0","","364.1","21318"
"Drew Smyly","CHC","19","39","123.0","7","8","7","0","1","121","59","19","112","36","1.28","8.16","2.66","4.29","4.29","","1.1","1.0","","435.2","11760"
"Emmanuel Clase","CLE","0","70","70.0","4","3","0","35","2","59","22","5","79","19","1.11","10.17","2.41","2.77","2.69","","1.1","1.2","","25.7","21032"
"Cal Quantrill","CLE","29","29","169.0","9","11","13","0","0","178","87","25","128","49","1.35","6.79","2.62","4.61","4.56","","1.1","0.8","","315.2","19312"
"Luis Ortiz","PIT","15","15","81.0","5","5","6","0","0","79","38","10","73","29","1.34","8.11","3.26","4.20","4.12","","1.1","0.9","","999.0","27646"
"Rich Hill","","21","21","111.0","7","7","8","0","0","112","54","16","94","36","1.34","7.59","2.92","4.42","4.37","","1.1","1.0","","658.7","4806"
"Wade Miley","","23","23","125.0","7","8","9","0","0","137","61","15","85","42","1.43","6.10","3.01","4.38","4.44","","1.1","1.0","","626.2","8779"
"Yusei Kikuchi","TOR","18","39","114.0","7","6","7","0","1","102","49","15","117","45","1.29","9.27","3.53","3.87","4.02","","1.1","1.3","","537.7","20633"
"Josh Hader","SDP","0","66","66.0","4","3","0","32","1","44","21","7","97","26","1.06","13.27","3.58","2.90","2.94","","1.1","1.1","","33.0","14212"
"David Peterson","NYM","8","46","81.0","5","4","4","0","1","68","29","8","92","30","1.21","10.26","3.36","3.19","3.35","","1.1","1.2","","380.8","20302"
"Drey Jameson","ARI","19","19","111.0","6","7","9","0","0","115","53","13","92","37","1.36","7.42","3.01","4.25","4.07","","1.1","1.2","","999.0","26260"
"Adrian Morejon","SDP","10","51","95.0","6","5","5","0","1","84","40","12","97","33","1.24","9.17","3.16","3.77","3.94","","1.1","1.0","","530.5","20039"
"Antonio Senzatela","COL","26","26","145.0","7","11","8","0","0","181","86","21","89","38","1.51","5.51","2.35","5.36","4.73","","1.1","1.0","","999.0","15488"
"Cade Cavalli","WSN","23","23","129.0","7","9","10","0","0","122","63","17","119","55","1.38","8.33","3.85","4.40","4.45","","1.1","1.3","","999.0","27473"
"José Urquidy","HOU","28","28","157.0","9","10","12","0","0","161","80","27","131","39","1.28","7.53","2.25","4.60","4.55","","1.1","0.8","","272.3","18413"
