"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ryan Aguilar","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".303",".347",".651",".292","87","","0.0","0.0","","0.0","0.0","0.0","","999.0","19967"
"Kevin Vicuña","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".281",".318",".599",".266","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872466"
"Davis Bradshaw","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".298",".344",".642",".284","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007031"
"Daniel Schneemann","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".278",".316",".594",".265","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006936"
"Jay Schuyler","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".262",".311",".573",".256","55","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006662"
"Fabricio Macias","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".283",".374",".658",".288","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa927338"
"Drew Stankiewicz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".274",".327",".602",".268","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa599531"
"Heriberto Hernandez","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".272",".359",".631",".279","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005630"
"Cheslor Cuthbert","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".287",".365",".652",".288","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","10473"
"Carlos Sanchez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".296",".312",".608",".274","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","11602"
"Jake Means","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".273",".335",".608",".270","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1170316"
"Luis Leon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".252",".294",".547",".245","55","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917463"
"Eduardo Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".275",".382",".658",".286","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917182"
"Nick Lovullo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".280",".316",".596",".266","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa659264"
"Carlos Cortes","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".279",".351",".630",".279","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008079"
"Roberto Baldoquin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".288",".305",".593",".266","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857538"
"Rocky Gale","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".255",".302",".557",".247","57","","0.0","0.0","","-0.1","0.0","0.0","","999.0","10533"
"Yermín Mercedes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".307",".396",".703",".308","99","","0.0","0.0","","0.0","0.0","0.0","","999.0","17423"
"Jan Mercado","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".246",".296",".542",".242","55","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005152"
"Vance Vizcaino","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".295",".349",".644",".286","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658828"
"Cory Spangenberg","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".274",".345",".619",".272","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","12294"
"Derek Fisher","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".294",".365",".659",".292","88","","0.0","0.0","","0.0","0.0","0.0","","999.0","16192"
"Alika Williams","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".262",".290",".552",".248","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014427"
"Jacob Robson","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".301",".328",".629",".283","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","19528"
"John Nogowski","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".319",".338",".657",".296","91","","0.0","0.0","","0.0","0.0","0.0","","999.0","16852"
"Grant Lavigne","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".327",".401",".728",".320","91","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007743"
"Hao Yu Lee","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".268",".314",".582",".258","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3017863"
"Jan Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".276",".374",".650",".286","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737639"
"Rio Ruiz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".285",".346",".631",".280","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","14103"
"Jared Walker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".280",".365",".645",".286","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829364"
"Gilbert Lara","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".255",".326",".581",".256","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877337"
"Zach Ashford","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".289",".335",".624",".278","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3009886"
"Edwin Figuera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".268",".309",".577",".255","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872730"
"Jake Noll","WSN","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".245",".287",".380",".667",".291","85","","0.0","-0.3","","-0.2","-0.2","0.0","","999.0","19703"
"Eli Wilson","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".255",".292",".547",".245","55","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918961"
"Matt McLaughlin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".286",".304",".590",".265","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915706"
"Bryant Betancourt","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".259",".345",".604",".266","55","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3015846"
"Austin Dennis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".277",".317",".594",".265","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007650"
"Stephen Wrenn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".288",".353",".641",".284","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738419"
"Aldrem Corredor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".303",".372",".675",".297","92","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736852"
"Braxton Fulford","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".266",".335",".601",".266","54","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3017164"
"Cole Sturgeon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".292",".358",".649",".286","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa709546"
"Michael Smith","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".266",".308",".574",".257","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004997"
"Kevan Smith","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".269",".298",".567",".253","61","","0.0","0.0","","0.0","0.0","0.0","","999.0","12284"
"Spencer Packard","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".284",".343",".628",".278","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3016803"
"Danny Woodrow","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".283",".306",".590",".265","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918257"
"Adrian Pinto","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".270",".288",".558",".252","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3015542"
"Kevin Kramer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".306",".355",".661",".294","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","17689"
"Brooks Lee","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".263",".301",".565",".252","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3019973"
"Jason Kipnis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".281",".333",".614",".274","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","9776"
"José Devers","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".269",".318",".587",".260","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","20540"
"Pat Winkel","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".247",".291",".539",".241","54","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3017556"
"Edwin Díaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".249",".331",".579",".255","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738152"
"Kervin Pichardo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".262",".322",".583",".260","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011260"
"Danny Serretti","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".272",".284",".556",".252","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3019967"
"Luis Yanel Diaz","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".246",".353",".600",".262","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002846"
"LJ Hatch","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".280",".349",".628",".277","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005233"
"Yasiel Puig","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".295",".378",".674",".296","91","","0.0","0.0","","0.0","0.0","0.0","","999.0","14225"
"McCarthy Tatum","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".263",".343",".606",".267","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010582"
"Luis Castro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".293",".377",".671",".296","91","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736954"
"Noah Campbell","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".299",".342",".641",".286","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014878"
"Manuel Geraldo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".268",".331",".599",".264","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827970"
"Bryan Holaday","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".266",".312",".578",".259","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","11287"
"Jaxx Groshans","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".249",".292",".541",".243","54","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010160"
"Gabe Holt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".288",".301",".588",".264","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011899"
"Jacob Buchberger","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".271",".315",".585",".260","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014987"
"Eric Sogard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".288",".329",".617",".274","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","7927"
"Kelvin Melean","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".280",".312",".592",".265","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917141"
"Daniel Robertson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".286",".309",".595",".268","72","","0.0","0.0","","0.0","0.0","0.0","","999.0","14145"
"Thomas Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".266",".325",".591",".264","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917968"
"Johneshwy Fargas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".276",".339",".616",".272","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","16446"
"Jacob Hurtubise","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".319",".334",".653",".294","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014820"
"Will Holland","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".268",".314",".583",".260","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011204"
"Alex Isola","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".304",".384",".688",".303","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1170516"
"Zander Wiel","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".282",".391",".673",".294","92","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857249"
"Zach Watson","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".252",".347",".599",".262","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011258"
"Dariel Lopez","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".260",".345",".605",".265","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008901"
"Corey Ray","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".268",".392",".660",".287","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","19170"
"Niko Decolati","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".309",".386",".695",".306","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006670"
"Juan Brito","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".278",".307",".586",".263","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3009808"
"Rhett Wiseman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".269",".381",".649",".284","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658608"
"D.J. Peterson","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".300",".435",".735",".319","91","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549926"
"Carlos Soto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".252",".289",".540",".243","54","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa900974"
"Edgardo Fermin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".267",".329",".596",".264","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872571"
"Daniel Amaral","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".286",".354",".640",".283","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006712"
"Toby Welk","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".282",".359",".641",".283","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1170296"
"Chris Cornelius","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".272",".332",".604",".266","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010686"
"Dae-Ho Lee","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".263",".303",".388",".690",".299","93","","0.0","0.0","","0.0","0.0","0.0","","999.0","18722"
"Michael Cantu","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".176",".247",".280",".527",".237","53","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829494"
"Nick Heath","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".279",".310",".589",".265","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","19577"
"Delino DeShields","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".308",".283",".591",".272","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","11379"
"Hudson Potts","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".279",".410",".689",".299","90","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917936"
"Ernie De La Trinidad","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".285",".356",".641",".284","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003955"
"Dru Baker","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".259",".313",".572",".255","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3017331"
"Tyler Tolve","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".244",".312",".556",".246","53","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3016960"
"Gosuke Katoh","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".304",".348",".653",".290","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","15697"
"Shane Sasaki","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".260",".313",".573",".254","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011754"
"Elliot Soto","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".283",".297",".579",".261","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","11155"
"Joshua Mears","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".257",".379",".636",".278","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010162"
"Dustin Fowler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".271",".355",".626",".275","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","17098"
"Rowdey Jordan","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".288",".327",".615",".275","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3017214"
"Nelson Maldonado","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".299",".399",".698",".305","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010389"
"Luken Baker","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".275",".390",".665",".290","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008267"
"Luis Alexander Basabe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".288",".353",".642",".285","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","17839"
"Aaron Whitefield","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".280",".346",".626",".276","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","19938"
"Luis Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".272",".322",".594",".263","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736875"
"Matt Beaty","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".306",".361",".666",".296","91","","0.0","0.0","","0.0","0.0","0.0","","999.0","17710"
"Chandler Redmond","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".276",".390",".666",".290","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1170749"
"Cullen Large","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".291",".342",".633",".281","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003959"
"Terence Doston","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".284",".360",".644",".284","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1170340"
"Ali Castillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".284",".308",".592",".264","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa507143"
"Joey Rickard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".298",".356",".654",".290","87","","0.0","0.0","","0.0","0.0","0.0","","999.0","13277"
"Onix Vega","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".264",".278",".542",".244","53","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008007"
"Imeldo Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".268",".328",".596",".263","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872851"
"Luis Alejandro Basabe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".277",".308",".585",".262","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736924"
"Drew Maggi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".284",".295",".579",".263","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549144"
"Jefrey Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".274",".370",".644",".283","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa923039"
"Tyler Black","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".287",".293",".581",".264","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3017623"
"Jonah Davis","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".256",".321",".576",".258","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007501"
"Jacob Rhinesmith","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".294",".342",".635",".283","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006729"
"Ka'ai Tom","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".292",".359",".651",".289","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","18136"
"Greg Bird","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".290",".360",".650",".288","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","14131"
"Peyton Wilson","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".271",".328",".599",".266","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3017110"
"Roberto Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".285",".382",".667",".294","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829199"
"J.D. Mundy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".288",".383",".672",".294","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014886"
"Jose Salas","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".260",".298",".558",".249","60","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014690"
"Lazaro Alonso","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".302",".358",".660",".294","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002722"
"Víctor Víctor Mesa","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".271",".306",".576",".257","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008602"
"Jake Bauers","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".295",".345",".641",".286","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","15194"
"Randy Florentino","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".244",".292",".536",".239","52","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005529"
"Jared Oliva","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".290",".365",".655",".288","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","19968"
"Grenny Cumana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".293",".345",".638",".282","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa735846"
"Dylan Shockley","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".254",".282",".536",".242","52","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1170874"
"Nash Knight","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".282",".296",".579",".264","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876814"
"Landon Stephens","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".277",".372",".649",".286","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014884"
"Chris Shaw","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".277",".385",".663",".291","87","","0.0","0.0","","0.0","0.0","0.0","","999.0","17738"
"Guillermo Heredia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".286",".344",".629",".278","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","18721"
"Lorenzo Hampton","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".286",".349",".634",".282","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010678"
"Jonathan Engelmann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".279",".359",".638",".282","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006858"
"Malquin Canelo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".271",".318",".589",".261","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657479"
"Josh Bissonette","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".288",".294",".582",".263","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1170619"
"Scott Heineman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".279",".340",".619",".273","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","14453"
"Nick Yorke","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".270",".339",".609",".269","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014546"
"Trei Cruz","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".274",".269",".543",".249","60","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014420"
"Marcos Castanon","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".257",".317",".574",".257","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3016818"
"Samuel Zavala","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".253",".328",".580",".256","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3015718"
"Josh Sale","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".285",".352",".637",".283","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548183"
"Petey Halpin","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".273",".311",".584",".261","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014461"
"Victor Nova","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".275",".306",".581",".261","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006075"
"Luis Marté","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".266",".327",".594",".262","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","14515"
"Tyreque Reed","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".291",".394",".685",".300","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004163"
"Bobby Bradley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".269",".397",".666",".290","87","","0.0","0.0","","0.0","0.0","0.0","","999.0","17278"
