"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Matt Olson","ATL","150","652","566","141","30","1","34","90","99","74","148","6","2","1","",".249",".340",".486",".826",".354","127","","-1.0","3.1","","19.6","-9.4","3.4","","999.0","14344"
"Cal Raleigh","SEA","122","509","460","103","23","1","26","61","73","40","136","5","2","1","",".224",".290",".450",".740",".320","114","","-0.7","1.1","","7.0","2.9","3.4","","999.0","21534"
"Dansby Swanson","","150","660","595","147","31","2","22","80","74","51","166","5","13","5","",".247",".310",".415",".725",".316","104","","1.5","-2.2","","4.5","5.3","3.4","","999.0","18314"
"Seiya Suzuki","CHC","139","603","525","137","27","2","25","77","83","66","132","7","10","5","",".262",".349",".465",".814",".352","128","","-0.9","0.3","","18.8","-7.6","3.3","","999.0","30116"
"Willson Contreras","STL","124","558","482","116","23","1","21","75","66","51","130","18","5","2","",".240",".333",".428",".760",".334","119","","-1.4","0.3","","11.1","4.8","3.2","","999.0","11609"
"Tim Anderson","CHW","139","646","603","172","31","1","16","83","63","27","120","6","17","5","",".286",".321",".423",".744",".323","111","","2.2","-6.7","","9.9","0.2","3.2","","999.0","15172"
"Ty France","SEA","149","670","598","163","33","1","23","87","80","45","110","19","1","0","",".272",".340",".447",".787",".342","129","","-1.5","1.9","","20.6","-11.3","3.2","","999.0","17982"
"Riley Greene","DET","141","629","559","144","28","6","15","70","67","57","161","6","8","3","",".257",".330",".407",".737",".323","113","","0.1","-0.9","","9.0","1.4","3.2","","999.0","25976"
"Luis Arraez","MIN","138","628","560","170","32","3","7","80","54","55","54","4","6","3","",".304",".368",".410",".779",".343","126","","0.1","2.7","","18.7","-8.5","3.2","","999.0","18568"
"Jorge Polanco","MIN","139","613","543","139","29","1","21","73","76","60","120","5","7","4","",".256",".333",".428",".761",".333","119","","0.0","-6.0","","13.3","-2.8","3.1","","999.0","13152"
"Daulton Varsho","ARI","130","582","519","124","25","3","24","76","68","48","133","6","15","5","",".239",".308",".440",".748",".325","108","","1.6","4.1","","6.7","4.2","3.1","","999.0","19918"
"Shohei Ohtani","LAA","147","657","565","144","27","4","35","95","97","79","169","5","17","7","",".254",".349",".503",".852",".361","136","","-0.1","0.0","","26.2","-17.2","3.1","","999.0","19755"
"Ozzie Albies","ATL","136","573","524","136","30","3","21","70","72","38","103","5","13","5","",".259",".312",".445",".757",".328","109","","1.8","0.8","","7.7","2.8","3.1","","999.0","16556"
"Ke'Bryan Hayes","PIT","139","618","553","143","32","3","14","71","67","52","133","6","16","6","",".259",".326",".402",".729",".320","106","","0.5","2.6","","4.6","4.3","3.1","","999.0","18577"
"Cedric Mullins","BAL","147","680","608","153","32","4","20","90","66","53","128","8","30","9","",".252",".318",".414",".732",".319","109","","2.2","-3.3","","8.9","-0.9","3.1","","999.0","17929"
"Vinnie Pasquantino","KCR","130","558","487","135","29","2","24","74","81","61","75","6","2","1","",".278",".363",".493",".856",".369","140","","-1.2","0.4","","24.1","-12.6","3.1","","999.0","27676"
"Ketel Marte","ARI","134","602","535","143","37","2","16","76","68","52","104","7","5","2","",".267",".337",".434",".772",".335","115","","-0.4","-1.9","","10.1","-1.4","3.0","","999.0","13613"
"Christian Yelich","MIL","146","666","563","140","26","3","21","90","68","89","164","5","14","4","",".249",".354",".418",".772",".339","118","","1.5","-0.9","","15.8","-9.5","3.0","","999.0","11477"
"Nathaniel Lowe","TEX","146","634","558","151","26","3","26","79","85","64","147","4","4","2","",".271",".348",".465",".813",".353","132","","-1.7","-0.5","","21.0","-12.7","3.0","","999.0","19566"
"Luis Urías","MIL","139","575","501","121","24","1","19","65","65","59","119","9","4","2","",".243",".330",".409",".739",".326","110","","-0.5","0.6","","5.9","3.2","3.0","","999.0","16622"
"Trevor Story","BOS","149","661","588","140","34","2","24","84","78","57","176","7","18","6","",".239",".312",".425",".736",".319","103","","1.7","-3.2","","3.7","3.5","3.0","","999.0","12564"
"Ha-Seong Kim","SDP","123","536","477","118","23","2","14","66","55","45","96","6","11","3","",".248",".318",".395",".713",".314","106","","0.3","3.9","","3.8","6.2","2.9","","999.0","27506"
"J.P. Crawford","SEA","143","575","503","129","27","2","8","63","51","57","85","7","5","2","",".256",".337",".365",".702",".314","109","","-0.3","-3.2","","5.6","3.9","2.9","","999.0","15491"
"Isaac Paredes","TBR","112","463","399","97","20","1","19","58","60","54","77","5","2","1","",".244",".338",".445",".783",".342","130","","-0.7","0.0","","14.8","-1.9","2.9","","999.0","20036"
"Jose Miranda","MIN","138","580","528","142","32","1","21","69","76","36","99","9","2","1","",".269",".324",".450",".774",".336","121","","-0.7","-5.4","","13.2","-4.1","2.9","","999.0","20538"
"Jonah Heim","TEX","100","415","374","88","18","1","14","45","49","34","80","3","2","1","",".235",".300",".401",".701",".307","100","","-0.8","0.0","","-1.0","7.4","2.9","","999.0","16930"
"Harrison Bader","NYY","130","516","464","115","22","3","15","57","59","37","112","7","17","6","",".248",".312",".404",".716",".313","105","","1.3","4.7","","3.9","6.8","2.8","","999.0","18030"
"Brendan Donovan","STL","125","528","454","122","25","1","9","62","54","58","84","10","5","2","",".270",".362",".392",".754",".335","120","","-0.7","-0.6","","11.7","-2.3","2.8","","999.0","24679"
"Dylan Carlson","STL","125","502","440","111","26","3","13","62","55","47","98","7","5","2","",".252",".332",".416",".748",".328","115","","0.3","-0.4","","8.9","1.2","2.8","","999.0","20126"
"Randy Arozarena","TBR","149","656","584","150","33","2","22","82","83","54","164","12","26","11","",".257",".330",".438",".768",".334","124","","-0.5","-2.4","","17.0","-10.9","2.8","","999.0","19290"
"Jake Cronenworth","SDP","143","611","534","134","29","4","15","73","70","59","107","10","3","1","",".250",".333",".405",".738",".324","112","","0.2","6.3","","9.1","-2.7","2.8","","999.0","18036"
"Starling Marte","NYM","139","629","570","152","28","4","17","82","71","37","125","13","24","8","",".267",".325",".421",".746",".326","116","","2.2","-2.0","","13.9","-8.6","2.8","","999.0","9241"
"Ian Happ","CHC","147","644","564","139","31","2","23","76","79","67","159","6","9","4","",".246",".330",".426",".757",".330","113","","0.1","1.9","","10.2","-5.4","2.8","","999.0","17919"
"Taylor Ward","LAA","141","611","534","139","28","2","22","77","79","65","135","7","6","2","",".260",".344",".443",".788",".345","124","","-0.3","-2.8","","16.5","-9.6","2.8","","999.0","17548"
"Eloy Jiménez","CHW","143","613","557","152","27","1","32","80","96","46","140","5","1","0","",".272",".330",".494",".824",".355","133","","-0.5","-0.5","","22.4","-15.6","2.8","","999.0","17484"
"Gavin Lux","LAD","130","522","461","121","22","5","12","59","57","52","102","3","7","3","",".263",".339",".411",".750",".329","114","","0.5","-6.9","","9.2","-0.5","2.8","","999.0","19955"
"Jose Trevino","NYY","84","322","299","74","15","1","8","34","36","15","59","2","3","1","",".246",".284",".386",".671",".292","90","","-0.9","0.3","","-4.6","7.3","2.7","","999.0","16725"
"Max Muncy","LAD","131","564","471","106","20","1","25","73","76","81","131","7","2","1","",".225",".344",".431",".775",".341","122","","-0.4","-7.9","","13.9","-7.1","2.7","","999.0","13301"
"Brendan Rodgers","COL","136","569","518","145","31","3","17","67","69","40","101","6","1","0","",".280",".335",".447",".782",".340","105","","-0.1","1.0","","3.3","3.3","2.7","","999.0","17907"
"Jose Siri","TBR","118","453","412","99","20","3","17","55","56","29","143","5","17","5","",".240",".296",".427",".723",".314","109","","1.6","2.7","","6.4","4.7","2.7","","999.0","17452"
"Christian Walker","ARI","150","644","569","144","29","2","28","80","91","63","136","7","2","1","",".252",".331",".456",".788",".342","119","","0.0","2.2","","14.3","-10.4","2.7","","999.0","13419"
"CJ Abrams","WSN","130","569","528","141","30","3","11","64","56","23","96","10","17","7","",".266",".306",".395",".701",".306","95","","0.7","2.2","","-2.4","8.6","2.7","","999.0","25768"
"Thairo Estrada","SFG","122","538","486","125","24","2","16","66","57","35","91","10","16","6","",".258",".318",".413",".731",".320","108","","0.8","-0.7","","5.8","1.4","2.7","","999.0","16426"
"Ezequiel Tovar","COL","122","458","419","117","23","3","16","59","59","27","81","5","12","4","",".280",".328",".464",".791",".342","106","","0.3","0.0","","3.7","6.0","2.6","","999.0","24064"
"Alec Bohm","PHI","146","595","544","148","27","2","16","65","69","39","117","5","4","2","",".272",".324",".417",".741",".323","107","","-0.4","-1.8","","4.4","0.6","2.6","","999.0","21618"
"Jonathan India","CIN","141","637","553","139","29","2","18","80","65","58","137","16","9","4","",".251",".338",".409",".746",".329","105","","-0.5","-2.1","","3.4","0.2","2.6","","999.0","21523"
"Danny Jansen","TOR","116","468","414","99","20","1","23","59","64","43","91","6","2","1","",".238",".317",".456",".773",".335","120","","-0.7","0.1","","9.8","0.4","2.6","","999.0","16535"
"Kyle Schwarber","PHI","143","643","547","123","21","2","38","93","88","80","182","6","6","3","",".226",".329",".479",".808",".348","124","","-1.4","-5.8","","16.7","-13.4","2.6","","999.0","16478"
"Tyler O'Neill","STL","130","539","481","117","20","2","25","66","73","44","152","8","14","5","",".243",".315",".447",".762",".331","117","","1.1","0.4","","12.0","-5.3","2.6","","999.0","15711"
"Keibert Ruiz","WSN","115","487","440","116","25","1","16","56","62","37","57","5","4","2","",".264",".326",".433",".759",".331","112","","-0.8","0.3","","6.2","5.0","2.6","","999.0","19610"
